title,creation_date,creation_date_earliest,creation_date_latest,medium,accession_number,id,credit_line,date_acquired,department,physical_location,item_width,item_height,item_depth,item_diameter,web_url,provenance_text,classification,image_url,artist_id,party_type,full_name,cited_name,role,nationality,birth_date,death_date,birth_place,death_place
Textile fragment,no date,,,"cotton?, tapestry technique",73.45.4.3,cmoa:things/775d8844-7774-4deb-8fd3-db7f27ae7bac,Anonymous Promised Gift,1973-12-05,Decorative Arts and Design,Not on View,5.0,8.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1016739,"Anonymous donor, Pittsburgh, PA, until December 5, 1973; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 5, 1973.",Textiles,,cmoa:parties/5c339916-c9de-4c9c-a279-be6247d1aa71,Person,unknown Coptic,unknown Coptic,,Coptic Egyptian,,,,
Textile fragment,no date,,,"cotton, tapestry technique",73.45.4.4,cmoa:things/f169af84-54d1-460c-b4bf-1ae3094f0d71,Anonymous Promised Gift,1973-12-05,Decorative Arts and Design,Not on View,3.25,5.75,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1016740,"Anonymous donor, Pittsburgh, PA, until December 5, 1973; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 5, 1973.",Textiles,,cmoa:parties/5c339916-c9de-4c9c-a279-be6247d1aa71,Person,unknown Coptic,unknown Coptic,,Coptic Egyptian,,,,
Textile fragment,no date,,,"wool, tapestey technique",73.45.4.5,cmoa:things/fe9b114c-79a7-42b7-b2e1-b03df0c05553,Anonymous Promised Gift,1973-12-05,Decorative Arts and Design,Not on View,3.0,6.5,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1016741,"Anonymous donor, Pittsburgh, PA, until December 5, 1973; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 5, 1973.",Textiles,,cmoa:parties/5c339916-c9de-4c9c-a279-be6247d1aa71,Person,unknown Coptic,unknown Coptic,,Coptic Egyptian,,,,
Textile fragment,no date,,,"linen or cotton support w/cotton? weft, tapestry technique",73.45.4.6,cmoa:things/98a9fde4-66a4-4043-a1f8-4012e9e7968b,Anonymous Promised Gift,1973-12-05,Decorative Arts and Design,Not on View,3.5,5.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1016742,"Anonymous donor, Pittsburgh, PA, until December 5, 1973; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 5, 1973.",Textiles,,cmoa:parties/5c339916-c9de-4c9c-a279-be6247d1aa71,Person,unknown Coptic,unknown Coptic,,Coptic Egyptian,,,,
Textile fragment,no date,,,"wool, tapestry technique",73.45.4.7,cmoa:things/a9848b5e-9d52-4dec-8e80-ef742e58c7e0,Anonymous Promised Gift,1973-12-05,Decorative Arts and Design,Not on View,2.75,6.5,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1016743,"Anonymous donor, Pittsburgh, PA, until December 5, 1973; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 5, 1973.",Textiles,,cmoa:parties/5c339916-c9de-4c9c-a279-be6247d1aa71,Person,unknown Coptic,unknown Coptic,,Coptic Egyptian,,,,
Striding man figure,"New Kingdom, 18th Dynasty or early 19th Dynasty, c. 1570-1200 ",-1595-01-15,-1175-01-12,wood,77.48,cmoa:things/629930ad-2e60-4586-aeeb-fe04bb9826af,"Robert S. Waters Charitable Trust Fund, Egyptian Art Fund, anonymous gift, and Women's Committee Fund",1977-10-12,Decorative Arts and Design,Art before 1300 Gallery,2.625,14.25,3.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1018915,"Sotheby Parke Bernet, NY, sale #3994, 5/21/77, lot 292",Wood,http://collection.cmoa.org/CollectionImage.aspx?irn=3433&size=Medium,cmoa:parties/b2df2db8-1e91-43b6-ab5b-39970eb1cf51,Person,unknown Egyptian,unknown Egyptian,,Egyptian,,,,
Cat,"26th Dynasty, 664 BCE-525 BCE",-0664-01-08,-0525-01-07,bronze,77.49,cmoa:things/59b63e7a-9b10-4078-b40a-7dbcc75c903a,Egyptian Art Fund: anonymous gift,1977-10-12,Decorative Arts and Design,Art before 1300 Gallery,2.125,9.625,3.5,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1018917,"Sotheby Parke Bernet, NY, sale #3994, 5/21/77, lot 301",Metals,http://collection.cmoa.org/CollectionImage.aspx?irn=3434&size=Medium,cmoa:parties/b2df2db8-1e91-43b6-ab5b-39970eb1cf51,Person,unknown Egyptian,unknown Egyptian,,Egyptian,,,,
Textile fragment,c. 1625,1620-01-01,1630-01-01,silk cut and uncut velvet,79.66.100,cmoa:things/d3b0f3f5-bd11-49bb-acbb-3c96d904d7b1,Anonymous Gift,1979-12-06,Decorative Arts and Design,Not on View,11.125,16.625,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1020644,"Anonymous donor, until December 6, 1979; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 6, 1979.",Textiles,,cmoa:parties/64e4f047-4143-4256-8cba-557e3c6b6787|cmoa:parties/e6a1fe12-6ac6-412e-b246-7e3a2bb5a3ef,Person|Person,unknown French|unknown Italian,unknown French|unknown Italian,possibly by|possibly by,French|Italian,|,|,|,|
Textile fragment,18th-19th century,1700-01-01,1850-01-01,silk cut velvet,79.66.101,cmoa:things/aecd7244-f45a-4b1a-ab6b-61c81beb1fc4,Anonymous Gift,1979-12-06,Decorative Arts and Design,Not on View,19.875,20.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1020645,"Anonymous donor, until December 6, 1979; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 6, 1979.",Textiles,,cmoa:parties/db0f3f08-4336-4301-90ba-05d50ea6e3db,Person,unknown German,unknown German,,German,,,,
"Textile fragment, Maniple/ Stole End",17th century,1600-01-01,1699-01-01,silk cut and uncut velvet,79.66.102,cmoa:things/dc7880fb-5b29-4fe6-a39d-3a7d7286da4a,Anonymous Gift,1979-12-06,Decorative Arts and Design,Not on View,5.625,12.875,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1020646,"Anonymous donor, until December 6, 1979; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 6, 1979.",Textiles,,cmoa:parties/e6a1fe12-6ac6-412e-b246-7e3a2bb5a3ef,Person,unknown Italian,unknown Italian,,Italian,,,,
Textile fragment,18th century,1700-01-01,1799-01-01,taffeta with silk cut velvet,79.66.103,cmoa:things/06f361de-9cf0-4c6b-9ed8-de5cbd775741,Anonymous Gift,1979-12-06,Decorative Arts and Design,Not on View,3.5,6.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1020647,"Anonymous donor, until December 6, 1979; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 6, 1979.",Textiles,,cmoa:parties/db0f3f08-4336-4301-90ba-05d50ea6e3db,Person,unknown German,unknown German,possibly by,German,,,,
Textile fragment,18th century,1700-01-01,1799-01-01,silk satin and cut and uncut velvet,79.66.104,cmoa:things/56e11309-81a1-4fa8-b840-6e0c930acca7,Anonymous Gift,1979-12-06,Decorative Arts and Design,Not on View,4.0,14.5,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1020648,"Anonymous donor, until December 6, 1979; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 6, 1979.",Textiles,,cmoa:parties/64e4f047-4143-4256-8cba-557e3c6b6787,Person,unknown French,unknown French,,French,,,,
Textile fragment,17th century,1600-01-01,1699-01-01,satin with cut and uncut velvet,79.66.105,cmoa:things/cf5a8d70-7ada-4631-a50c-c5c298062bde,Anonymous Gift,1979-12-06,Decorative Arts and Design,Not on View,8.375,3.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1020649,"Anonymous donor, until December 6, 1979; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 6, 1979.",Textiles,,cmoa:parties/e6a1fe12-6ac6-412e-b246-7e3a2bb5a3ef,Person,unknown Italian,unknown Italian,,Italian,,,,
Textile fragment,c. 1775,1770-01-01,1780-01-01,taffeta with silk cut pile,79.66.106,cmoa:things/ad61d538-4318-455b-9e5d-45300ddf5a0d,Anonymous Gift,1979-12-06,Decorative Arts and Design,Not on View,5.75,6.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1020650,"Anonymous donor, until December 6, 1979; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 6, 1979.",Textiles,,cmoa:parties/db0f3f08-4336-4301-90ba-05d50ea6e3db,Person,unknown German,unknown German,possibly by,German,,,,
Textile fragment,c. 1725,1720-01-01,1730-01-01,silk cut and uncut fabric,79.66.109,cmoa:things/40232e59-c29e-4a3f-9525-c2ef679db566,Anonymous Gift,1979-12-06,Decorative Arts and Design,Not on View,9.25,9.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1020653,"Anonymous donor, until December 6, 1979; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 6, 1979.",Textiles,,cmoa:parties/c0e64655-e970-413e-94b7-ef3deb0f41a6,Person,"unknown French, Burgundy","unknown French, Burgundy",,French,,,,
Chasuble,17th century,1600-01-01,1699-01-01,silk cut velvet,79.66.10,cmoa:things/83d1d5e2-2de3-4496-bcd3-83d9f5dcf100,Anonymous Gift,1979-12-06,Decorative Arts and Design,Not on View,0.0,0.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1020654,"Anonymous donor, until December 6, 1979; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 6, 1979.",Textiles,http://collection.cmoa.org/CollectionImage.aspx?irn=98628&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=98629&size=Medium,cmoa:parties/43e25ea5-cb8b-4a3d-a5e5-d0362d4bd031|cmoa:parties/db0f3f08-4336-4301-90ba-05d50ea6e3db,Person|Person,unknown Austrian|unknown German,unknown Austrian|unknown German,possibly by|possibly by,Austrian|German,|,|,|,|
Textile fragment,c. 1775,1770-01-01,1780-01-01,silk cut and uncut velvet,79.66.110,cmoa:things/01e819be-36bd-4fc4-b1be-aef686dcae80,Anonymous Gift,1979-12-06,Decorative Arts and Design,Not on View,3.0,8.125,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1020655,"Anonymous donor, until December 6, 1979; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 6, 1979.",Textiles,,cmoa:parties/e6a1fe12-6ac6-412e-b246-7e3a2bb5a3ef,Person,unknown Italian,unknown Italian,,Italian,,,,
Textile fragment,16th century,1499-12-23,1599-01-01,compound woven silk with loose threads,79.66.111,cmoa:things/eb416318-9ccf-4c6f-8b1c-44de1e9f0e41,Anonymous Gift,1979-12-06,Decorative Arts and Design,Not on View,5.5,10.75,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1020656,"Anonymous donor, until December 6, 1979; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 6, 1979.",Textiles,,cmoa:parties/644dcd44-e93f-425d-8a14-0b8ebd3b81ee,Person,"unknown French, Lyon","unknown French, Lyon",,French,,,,
Textile fragment,19th century,1800-01-01,1899-01-01,satin with cut velvet,79.66.112,cmoa:things/c8e953b0-8065-4a73-98e3-d940aaa1c179,Anonymous Gift,1979-12-06,Decorative Arts and Design,Not on View,8.75,9.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1020657,"Anonymous donor, until December 6, 1979; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 6, 1979.",Textiles,,cmoa:parties/db0f3f08-4336-4301-90ba-05d50ea6e3db,Person,unknown German,unknown German,,German,,,,
Textile fragment,18th century,1700-01-01,1799-01-01,satin with cut velvet,79.66.113,cmoa:things/6381cf5b-46bd-4f1a-be80-9de61676cec6,Anonymous Gift,1979-12-06,Decorative Arts and Design,Not on View,7.5,11.75,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1020658,"Anonymous donor, until December 6, 1979; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 6, 1979.",Textiles,,cmoa:parties/ebc6819d-eebf-42cb-969c-60b7bd57c15a,Person,unknown Spanish,unknown Spanish,,Spanish,,,,
Textile fragment,c. 1725,1720-01-01,1730-01-01,silk taffeta with cut and uncut velvet,79.66.114,cmoa:things/e70aac7c-2eed-453e-a789-1f35191a0144,Anonymous Gift,1979-12-06,Decorative Arts and Design,Not on View,9.0,12.75,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1020659,"Anonymous donor, until December 6, 1979; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 6, 1979.",Textiles,,cmoa:parties/64e4f047-4143-4256-8cba-557e3c6b6787|cmoa:parties/e6a1fe12-6ac6-412e-b246-7e3a2bb5a3ef,Person|Person,unknown French|unknown Italian,unknown French|unknown Italian,possibly by|possibly by,French|Italian,|,|,|,|
Textile fragment,c. 1860,1855-01-01,1865-01-01,satin with cut and uncut velvet,79.66.115,cmoa:things/00078d13-d7c7-4f1b-bbe2-b9afcc25fcbd,Anonymous Gift,1979-12-06,Decorative Arts and Design,Not on View,5.875,13.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1020660,"Anonymous donor, until December 6, 1979; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 6, 1979.",Textiles,,cmoa:parties/43e25ea5-cb8b-4a3d-a5e5-d0362d4bd031,Person,unknown Austrian,unknown Austrian,,Austrian,,,,
Textile fragment,18th century,1700-01-01,1799-01-01,silk and metal strip taffeta,79.66.116.1,cmoa:things/c9b08e1e-5a22-4d78-86f8-ba1dc74d0541,Anonymous Gift,1979-12-06,Decorative Arts and Design,Not on View,10.75,7.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1020661,"Anonymous donor, until December 6, 1979; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 6, 1979.",Textiles,,cmoa:parties/42845212-bd75-41b4-b14f-35bddcdeca69,Person,unknown European,unknown European,,European,,,,
Textile fragment,18th century,1700-01-01,1799-01-01,silk with metal strip taffeta,79.66.116.2,cmoa:things/f854de91-c687-4d35-9af0-16b28c3cb942,Anonymous Gift,1979-12-06,Decorative Arts and Design,Not on View,10.75,6.875,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1020662,"Anonymous donor, until December 6, 1979; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 6, 1979. ",Textiles,,cmoa:parties/42845212-bd75-41b4-b14f-35bddcdeca69,Person,unknown European,unknown European,,European,,,,
Textile fragment,16th century,1499-12-23,1599-01-01,silk with satin and metal thread,79.66.117,cmoa:things/5e1f30f3-3964-44d5-8b24-4a7b7628778b,Anonymous Gift,1979-12-06,Decorative Arts and Design,Not on View,13.875,3.5,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1020663,"Anonymous donor, until December 6, 1979; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 6, 1979.",Textiles,,cmoa:parties/f4faa896-b566-45ac-b1d4-258f598ad997,Person,unknown Persian,unknown Persian,,Persian,,,,
Textile fragment,c. 1450,1444-12-23,1454-12-23,silk with cut velvet,79.66.118,cmoa:things/ae30040f-2ca5-4a15-b001-df3c8e13dfb1,Anonymous Gift,1979-12-06,Decorative Arts and Design,Not on View,8.375,9.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1020664,"Anonymous donor, until December 6, 1979; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 6, 1979.",Textiles,,cmoa:parties/e6a1fe12-6ac6-412e-b246-7e3a2bb5a3ef,Person,unknown Italian,unknown Italian,,Italian,,,,
Textile fragment,c. 1575,1569-12-22,1579-12-22,silk taffeta with silk cut velvet,79.66.119,cmoa:things/b4ae4ce4-7176-4963-8197-e47501f9576f,Anonymous Gift,1979-12-06,Decorative Arts and Design,Not on View,3.25,7.75,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1020665,"Anonymous donor, until December 6, 1979; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 6, 1979.",Textiles,,cmoa:parties/64e4f047-4143-4256-8cba-557e3c6b6787,Person,unknown French,unknown French,,French,,,,
Ophrey,16th-17th century,1499-12-23,1699-01-01,appliqued silk cut velvet,79.66.11,cmoa:things/bdacf4ed-a131-48a2-9981-fe1e4158aa74,Anonymous Gift,1979-12-06,Decorative Arts and Design,Not on View,8.5,47.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1020666,"Anonymous donor, until December 6, 1979; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 6, 1979.",Textiles,,cmoa:parties/e6a1fe12-6ac6-412e-b246-7e3a2bb5a3ef|cmoa:parties/ebc6819d-eebf-42cb-969c-60b7bd57c15a,Person|Person,unknown Italian|unknown Spanish,unknown Italian|unknown Spanish,possibly by|possibly by,Italian|Spanish,|,|,|,|
Textile fragment,18th-19th century,1700-01-01,1850-01-01,silk cut velvet,79.66.120,cmoa:things/48698841-bb9f-412f-a18b-2ffc5b3d2624,Anonymous Gift,1979-12-06,Decorative Arts and Design,Not on View,14.125,12.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1020667,"Anonymous donor, until December 6, 1979; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 6, 1979.",Textiles,,cmoa:parties/db0f3f08-4336-4301-90ba-05d50ea6e3db,Person,unknown German,unknown German,,German,,,,
Textile fragment,c. 1625,1620-01-01,1630-01-01,taffeta with silk cut velvet,79.66.121,cmoa:things/7359877e-ebd2-4fed-9b56-77a990e19efd,Anonymous Gift,1979-12-06,Decorative Arts and Design,Not on View,5.0,9.375,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1020668,"Anonymous donor, until December 6, 1979; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 6, 1979.",Textiles,,cmoa:parties/64e4f047-4143-4256-8cba-557e3c6b6787,Person,unknown French,unknown French,,French,,,,
Textile fragment,17th century,1600-01-01,1699-01-01,satin with silk cut velvet,79.66.122,cmoa:things/3bc10e77-cde1-4e5e-a9cd-299e72706c23,Anonymous Gift,1979-12-06,Decorative Arts and Design,Not on View,11.5,9.75,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1020669,"Anonymous donor, until December 6, 1979; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 6, 1979.",Textiles,,cmoa:parties/64e4f047-4143-4256-8cba-557e3c6b6787,Person,unknown French,unknown French,,French,,,,
Textile fragment,18th century,1700-01-01,1799-01-01,satin with cut and uncut velvet,79.66.123,cmoa:things/460be595-723e-4df1-bc48-c290451ba96d,Anonymous Gift,1979-12-06,Decorative Arts and Design,Not on View,11.75,11.625,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1020670,"Anonymous donor, until December 6, 1979; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 6, 1979.",Textiles,,cmoa:parties/64e4f047-4143-4256-8cba-557e3c6b6787,Person,unknown French,unknown French,,French,,,,
Textile fragment,c. 1625,1620-01-01,1630-01-01,taffeta and silk velvet,79.66.124,cmoa:things/768ea3a1-721b-470f-bdb6-84c224cf63ae,Anonymous Gift,1979-12-06,Decorative Arts and Design,Not on View,7.625,2.75,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1020671,"Anonymous donor, until December 6, 1979; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 6, 1979.",Textiles,,cmoa:parties/64e4f047-4143-4256-8cba-557e3c6b6787,Person,unknown French,unknown French,,French,,,,
Textile fragment,18th-19th century,1700-01-01,1850-01-01,taffeta and silk velvet,79.66.125,cmoa:things/fab1c8c8-403d-40db-8e88-600830347be1,Anonymous Gift,1979-12-06,Decorative Arts and Design,Not on View,4.0,5.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1020672,"Anonymous donor, until December 6, 1979; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 6, 1979.",Textiles,,cmoa:parties/64e4f047-4143-4256-8cba-557e3c6b6787,Person,unknown French,unknown French,,French,,,,
Textile fragment,17th century,1600-01-01,1699-01-01,silk and velvet,79.66.126,cmoa:things/067c0821-11a5-4958-80a3-bcfdeebe5364,Anonymous Gift,1979-12-06,Decorative Arts and Design,Not on View,4.25,5.375,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1020673,"Anonymous donor, until December 6, 1979; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 6, 1979.",Textiles,,cmoa:parties/64e4f047-4143-4256-8cba-557e3c6b6787,Person,unknown French,unknown French,,French,,,,
Textile fragment,16th century,1499-12-23,1599-01-01,silk taffeta and cut velvet,79.66.127,cmoa:things/88deb3d5-6406-4fb7-8729-3fdfe61b9406,Anonymous Gift,1979-12-06,Decorative Arts and Design,Not on View,3.25,7.625,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1020674,"Anonymous donor, until December 6, 1979; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 6, 1979.",Textiles,,cmoa:parties/e6a1fe12-6ac6-412e-b246-7e3a2bb5a3ef,Person,unknown Italian,unknown Italian,,Italian,,,,
