title,creation_date,creation_date_earliest,creation_date_latest,medium,accession_number,id,credit_line,date_acquired,department,physical_location,item_width,item_height,item_depth,item_diameter,web_url,provenance_text,classification,image_url,artist_id,party_type,full_name,cited_name,role,nationality,birth_date,death_date,birth_place,death_place
Snuff bottle: Pekin Glass,18th-19th century,1750-01-01,1850-01-01,glass,73.H,cmoa:things/a5b12bb6-52af-4a22-bda3-29d8af9043c7,Gift of Howard Heinz,1938-12-28,Decorative Arts and Design,Not on View,1.25,2.0,1.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=257,,Glass,http://collection.cmoa.org/CollectionImage.aspx?irn=1417&size=Medium,cmoa:parties/b21e4f72-77fc-4c7a-8343-74c67e9c4f3b,Person,unknown Chinese,unknown Chinese,,Chinese,,,,
Snuff bottle: Carved Glass,18th-19th century,1750-01-01,1850-01-01,glass,74.H,cmoa:things/65b69bef-c73e-451c-91b2-873815a25dee,Gift of Howard Heinz,1938-12-28,Decorative Arts and Design,Not on View,1.75,3.0,1.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=258,,Glass,http://collection.cmoa.org/CollectionImage.aspx?irn=1418&size=Medium,cmoa:parties/b21e4f72-77fc-4c7a-8343-74c67e9c4f3b,Person,unknown Chinese,unknown Chinese,,Chinese,,,,
Snuff bottle,18th century,1700-01-01,1799-01-01,agate,103.H,cmoa:things/545e7c8d-4b32-4ba8-9346-590cb1b326e9,Gift of Howard Heinz,1938-12-28,Decorative Arts and Design,Not on View,2.0,2.5,1.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=259,,containers,http://collection.cmoa.org/CollectionImage.aspx?irn=2752&size=Medium,cmoa:parties/b21e4f72-77fc-4c7a-8343-74c67e9c4f3b,Person,unknown Chinese,unknown Chinese,,Chinese,,,,
Snuff bottle,19th century,1800-01-01,1899-01-01,agate,105.H,cmoa:things/d7fde775-7b80-4050-9574-bb852d16086e,Gift of Howard Heinz,1938-12-28,Decorative Arts and Design,Not on View,2.5,3.25,1.375,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=260,,containers,http://collection.cmoa.org/CollectionImage.aspx?irn=1018&size=Medium,cmoa:parties/b21e4f72-77fc-4c7a-8343-74c67e9c4f3b,Person,unknown Chinese,unknown Chinese,,Chinese,,,,
Snuff bottle,18th century,1700-01-01,1799-01-01,agate,106.H,cmoa:things/15478e36-3ce4-4b7f-94db-04ea5670bb37,Gift of Howard Heinz,1938-12-28,Decorative Arts and Design,Not on View,2.25,3.0,1.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=261,,containers,http://collection.cmoa.org/CollectionImage.aspx?irn=1019&size=Medium,cmoa:parties/b21e4f72-77fc-4c7a-8343-74c67e9c4f3b,Person,unknown Chinese,unknown Chinese,,Chinese,,,,
Snuff bottle,18th century,1700-01-01,1799-01-01,agate,107.H,cmoa:things/2934312a-928c-48c8-afb8-063949efe802,Gift of Howard Heinz,1938-12-28,Decorative Arts and Design,Not on View,2.5,3.75,2.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=262,,containers,http://collection.cmoa.org/CollectionImage.aspx?irn=1607&size=Medium,cmoa:parties/b21e4f72-77fc-4c7a-8343-74c67e9c4f3b,Person,unknown Chinese,unknown Chinese,,Chinese,,,,
Snuff bottle,18th century,1700-01-01,1799-01-01,glass,111.H,cmoa:things/e5dc9347-c6d3-430d-9ed7-8416605c317a,Gift of Howard Heinz,1938-12-28,Decorative Arts and Design,Not on View,2.0,3.0,1.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=263,,containers,http://collection.cmoa.org/CollectionImage.aspx?irn=1020&size=Medium,cmoa:parties/b21e4f72-77fc-4c7a-8343-74c67e9c4f3b,Person,unknown Chinese,unknown Chinese,,Chinese,,,,
Snuff bottle,19th century,1800-01-01,1899-01-01,glass,113.H,cmoa:things/b8bfb3ad-b6fc-4cc6-8cec-95b077a654c3,Gift of Howard Heinz,1938-12-28,Decorative Arts and Design,Not on View,1.75,2.75,0.75,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=264,,Glass,http://collection.cmoa.org/CollectionImage.aspx?irn=1021&size=Medium,cmoa:parties/b21e4f72-77fc-4c7a-8343-74c67e9c4f3b,Person,unknown Chinese,unknown Chinese,,Chinese,,,,
Snuff bottle,no date,,,glass,114.H,cmoa:things/3f8a7478-3c8b-4578-9dc0-101160394f6e,Gift of Howard Heinz,1938-12-28,Decorative Arts and Design,Not on View,1.5,2.75,1.125,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=265,,Glass,http://collection.cmoa.org/CollectionImage.aspx?irn=1022&size=Medium,cmoa:parties/b21e4f72-77fc-4c7a-8343-74c67e9c4f3b|cmoa:parties/95377dae-7d54-45a7-b757-1bece42c5d44,Person|Person,unknown Chinese|Yen Chung San,unknown Chinese|Yen Chung San,painter|,Chinese|Chinese,|,|,|,|
Snuff bottle,late 19th century,1875-01-01,1899-01-01,glass,117.H,cmoa:things/fc6bbf04-abf4-468e-9e46-ffd648ca9de2,Gift of Howard Heinz,1938-12-28,Decorative Arts and Design,Not on View,1.25,3.0,1.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=267,,Glass,http://collection.cmoa.org/CollectionImage.aspx?irn=1024&size=Medium,cmoa:parties/b21e4f72-77fc-4c7a-8343-74c67e9c4f3b,Person,unknown Chinese,unknown Chinese,,Chinese,,,,
Snuff bottle,18th - 19th century,1750-01-01,1850-01-01,jade,118.H,cmoa:things/bf1f76ac-1355-4c55-8442-d170fe52de55,Gift of Howard Heinz,1938-12-28,Decorative Arts and Design,Not on View,2.0,3.25,1.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=268,,containers,http://collection.cmoa.org/CollectionImage.aspx?irn=1025&size=Medium,cmoa:parties/b21e4f72-77fc-4c7a-8343-74c67e9c4f3b,Person,unknown Chinese,unknown Chinese,,Chinese,,,,
Snuff bottle,18th - 19th century,1750-01-01,1850-01-01,jade,121.H,cmoa:things/790b338f-5fb8-43d2-8a88-6f3638a4210f,Gift of Howard Heinz,1938-12-28,Decorative Arts and Design,Not on View,1.25,2.0,1.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=269,,containers,http://collection.cmoa.org/CollectionImage.aspx?irn=1026&size=Medium,cmoa:parties/b21e4f72-77fc-4c7a-8343-74c67e9c4f3b,Person,unknown Chinese,unknown Chinese,,Chinese,,,,
Snuff bottle,18th - 19th century,1750-01-01,1850-01-01,jade,122.H,cmoa:things/13df7070-db77-46ab-b65a-d8506415120c,Gift of Howard Heinz,1938-12-28,Decorative Arts and Design,Not on View,2.0,2.5,1.5,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=270,,containers,http://collection.cmoa.org/CollectionImage.aspx?irn=1027&size=Medium,cmoa:parties/b21e4f72-77fc-4c7a-8343-74c67e9c4f3b,Person,unknown Chinese,unknown Chinese,,Chinese,,,,
Snuff bottle,18th - 19th century,1750-01-01,1850-01-01,amethyst,124.H,cmoa:things/dea363c5-f614-4008-94fc-62001dee672f,Gift of Howard Heinz,1938-12-28,Decorative Arts and Design,Not on View,1.5,2.5,1.375,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=271,,containers,http://collection.cmoa.org/CollectionImage.aspx?irn=1028&size=Medium,cmoa:parties/b21e4f72-77fc-4c7a-8343-74c67e9c4f3b,Person,unknown Chinese,unknown Chinese,,Chinese,,,,
Snuff bottle: Carved Agate,late 19th century,1875-01-01,1899-01-01,agate,102.H,cmoa:things/25059197-3abc-4fff-b607-3dcfc853aaaf,Gift of Howard Heinz,1938-12-28,Decorative Arts and Design,Not on View,2.5,2.5,1.25,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=284,,containers,http://collection.cmoa.org/CollectionImage.aspx?irn=1017&size=Medium,cmoa:parties/b21e4f72-77fc-4c7a-8343-74c67e9c4f3b,Person,unknown Chinese,unknown Chinese,,Chinese,,,,
Box,c. 1825-1840,1820-01-01,1845-01-01,mother of pearl,70.32.2621.1.A-B,cmoa:things/c6214446-8e5b-4d6e-b918-c0e3fb2ea359,Ailsa Mellon Bruce Collection,,Decorative Arts and Design,Not on View,3.0,1.25,2.375,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=293,Ailsa Mellon Bruce,containers,http://collection.cmoa.org/CollectionImage.aspx?irn=8262&size=Medium,cmoa:parties/649a7076-807e-4dc8-b934-a48c1756c94e,Person,unknown Asian,unknown Asian,,Asian,,,,
Box,c. 1825-1840,1820-01-01,1845-01-01,mother of pearl,70.32.2621.2.A-B,cmoa:things/a882c840-0d91-486a-8a66-95db16160bd8,Ailsa Mellon Bruce Collection,,Decorative Arts and Design,Not on View,3.0,1.25,2.375,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=294,Ailsa Mellon Bruce,containers,http://collection.cmoa.org/CollectionImage.aspx?irn=8268&size=Medium,cmoa:parties/649a7076-807e-4dc8-b934-a48c1756c94e,Person,unknown Asian,unknown Asian,,Asian,,,,
Box,c. 1825-1840,1820-01-01,1845-01-01,mother of pearl,70.32.2621.3.A-B,cmoa:things/75157de2-d458-4731-a145-95d97a7db57f,Ailsa Mellon Bruce Collection,,Decorative Arts and Design,Not on View,2.75,1.25,5.125,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=295,Ailsa Mellon Bruce,containers,http://collection.cmoa.org/CollectionImage.aspx?irn=8271&size=Medium,cmoa:parties/649a7076-807e-4dc8-b934-a48c1756c94e,Person,unknown Asian,unknown Asian,,Asian,,,,
Box,c. 1825-1840,1820-01-01,1845-01-01,mother of pearl,70.32.2621.4.A-B,cmoa:things/327733cf-7a72-4226-b57f-917fae22a59a,Ailsa Mellon Bruce Collection,,Decorative Arts and Design,Not on View,3.0,1.375,2.375,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=296,Ailsa Mellon Bruce,containers,http://collection.cmoa.org/CollectionImage.aspx?irn=8274&size=Medium,cmoa:parties/649a7076-807e-4dc8-b934-a48c1756c94e,Person,unknown Asian,unknown Asian,,Asian,,,,
Box,c. 1825-1840,1820-01-01,1845-01-01,mother of pearl,70.32.2621.5.A-B,cmoa:things/08d73039-f91e-4ac7-859d-5b2aeeccadb8,Ailsa Mellon Bruce Collection,,Decorative Arts and Design,Not on View,3.0,1.375,2.375,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=297,Ailsa Mellon Bruce,containers,http://collection.cmoa.org/CollectionImage.aspx?irn=8277&size=Medium,cmoa:parties/649a7076-807e-4dc8-b934-a48c1756c94e,Person,unknown Asian,unknown Asian,,Asian,,,,
Charger,1796-1820,1796-01-01,1820-01-01,brass and cloisonné (fused glass),37.3.242,cmoa:things/c4c73214-9c1b-4784-b773-9afa98f7e312,In memory of Mary Junkin Cowley,,Decorative Arts and Design,"Gallery 20, Bruce Galleries",15.5,2.25,15.375,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=439,"Collection of Mary Junkin Cowley, before 1937; gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, 1937.",Metals,http://collection.cmoa.org/CollectionImage.aspx?irn=10054&size=Medium,cmoa:parties/b21e4f72-77fc-4c7a-8343-74c67e9c4f3b,Person,unknown Chinese,unknown Chinese,,Chinese,,,,
"Candlestick, one of a pair",no date,,,glass with a crystal base,71.51.13.1,cmoa:things/ce1ca609-f4ed-42db-b0fc-fa40b8586369,Gift of Mr. and Mrs. Henry Oliver Rea in memory of Edith Oliver Rea,1971-12-09,Decorative Arts and Design,Not on View,3.0,9.0,3.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=468,"Gift of Mr. and Mrs. Henry Oliver Rea, 1971.",lighting devices,http://collection.cmoa.org/CollectionImage.aspx?irn=4785&size=Medium,cmoa:parties/119dfe94-1f6b-46d0-802d-0420119fafaf|cmoa:parties/3b27d69a-7ddb-4e1b-8a81-4fb053e63800,Person|Person,unknown English|unknown Irish,unknown English|unknown Irish,possibly by|possibly by,English|Irish,|,|,|,|
Tea bowl,Qianlong period (1736-1795),1736-01-01,1795-01-01,"lacquer, silver, mother-of-pearl",73.48.92.1,cmoa:things/ff3e4f44-1f5b-407d-8d7e-7092a7e73f50,Gift of Walter Read Hovey,1973-12-05,Decorative Arts and Design,Not on View,5.0,2.5,5.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=469,,containers,http://collection.cmoa.org/CollectionImage.aspx?irn=6129&size=Medium,cmoa:parties/b21e4f72-77fc-4c7a-8343-74c67e9c4f3b,Person,unknown Chinese,unknown Chinese,,Chinese,,,,
Tea bowl,Qianlong period (1736-1795),1736-01-01,1795-01-01,"lacquer, silver, mother-of-pearl",73.48.92.2,cmoa:things/a2234993-1819-4bb4-acfd-4705dc12f2f6,Gift of Walter Read Hovey,1973-12-05,Decorative Arts and Design,Not on View,5.0,2.5,5.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=470,,containers,http://collection.cmoa.org/CollectionImage.aspx?irn=6130&size=Medium,cmoa:parties/b21e4f72-77fc-4c7a-8343-74c67e9c4f3b,Person,unknown Chinese,unknown Chinese,,Chinese,,,,
Jidaga (Water jug),20th century,1900-01-01,1999-01-01,earthenware,2002.76,cmoa:things/d6aa1ed0-5763-4806-aa25-684e977b8b71,Gift of Mr. and Mrs. Milton Washington,2003-02-06,Decorative Arts and Design,African Art Gallery,20.25,27.0,20.25,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1962,"Milton and Nancy Washington, Pittsburgh, PA; gift to Carnegie Museum of Art, Pittsburgh, PA, February 2003.",Ceramics,http://collection.cmoa.org/CollectionImage.aspx?irn=36554&size=Medium,cmoa:parties/6403af47-1406-484b-b8b4-59e2e9e2b616,Person,"unknown Bamana, Mali","unknown Bamana, Mali",,Bamana,,,,
2 Hand Long Sword,16th century,1499-12-23,1599-01-01,metal,70.36.12,cmoa:things/37979fb7-58f2-4820-9f09-f33f566d61bb,Gift of Mr. and Mrs. J. P. Miller,1970-10-08,Decorative Arts and Design,Not on View,9.5,64.5,8.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=2647,"Gift of Mr. and Mrs. J. P. Miller, Ft. Lauderdale, FL and Waynesburg, PA, 1970.",weapons and ammunition,,cmoa:parties/db0f3f08-4336-4301-90ba-05d50ea6e3db,Person,unknown German,unknown German,,German,,,,
